Horizon_Days,Date,arabica_price_Low,arabica_price_Base,arabica_price_High,arabica_price_BiasCorrection,arabica_price_ConformalDelta,robusta_price_Low,robusta_price_Base,robusta_price_High,robusta_price_BiasCorrection,robusta_price_ConformalDelta
30,2026-03-01,298.2558355501651,341.63670552966084,399.8420729377144,-0.01044020763452279,31.924124325244918,3446.877164097339,4458.3129964650625,5260.678832036964,-0.01101759480479664,655.7928464285942
90,2026-04-30,207.39664890678716,312.65543232644166,433.0752293859916,-0.005779680984761837,98.8622338670898,2321.8870013770793,4636.239464956111,6702.36478852556,-0.025849385687058097,1801.306590613318
180,2026-07-29,173.28018129627162,337.48255386341265,547.5653633585661,-0.05911668601996117,160.0612966392992,2772.57500933587,5189.997952049419,7466.994975514149,-0.104768284469115,1852.3254765182583
