Date;Certified_Stocks
;Close
17.10.2024;837519
16.10.2024;836998
15.10.2024;828713
14.10.2024;823163
11.10.2024;815087
10.10.2024;808252
09.10.2024;808892
08.10.2024;807785
07.10.2024;813856
04.10.2024;804576
03.10.2024;795874
02.10.2024;801344
01.10.2024;801344
30.09.2024;813999
27.09.2024;818183
26.09.2024;820220
25.09.2024;830587
24.09.2024;831727
23.09.2024;837761
20.09.2024;838536
19.09.2024;837656
18.09.2024;837506
17.09.2024;853802
16.09.2024;850889
13.09.2024;856269
12.09.2024;858474
11.09.2024;854894
10.09.2024;850554
09.09.2024;846687
06.09.2024;843847
05.09.2024;834792
04.09.2024;823325
03.09.2024;813734
30.08.2024;847873
29.08.2024;840190
28.08.2024;831685
27.08.2024;838450
26.08.2024;843725
23.08.2024;844145
22.08.2024;838167
21.08.2024;841570
20.08.2024;842230
19.08.2024;843110
16.08.2024;836921
15.08.2024;836921
14.08.2024;825633
13.08.2024;822496
12.08.2024;820732
09.08.2024;828509
08.08.2024;828704
07.08.2024;826444
06.08.2024;824584
05.08.2024;825319
02.08.2024;830094
01.08.2024;822819
31.07.2024;814924
30.07.2024;821108
29.07.2024;814656
26.07.2024;814801
25.07.2024;814801
24.07.2024;812306
23.07.2024;813378
22.07.2024;820723
19.07.2024;818230
18.07.2024;818230
17.07.2024;809209
16.07.2024;801547
15.07.2024;803167
12.07.2024;805366
11.07.2024;808901
10.07.2024;808628
09.07.2024;803319
08.07.2024;808649
05.07.2024;811359
03.07.2024;820629
01.07.2024;815716
28.06.2024;807394
27.06.2024;808184
26.06.2024;808459
25.06.2024;842434
24.06.2024;835444
21.06.2024;831595
20.06.2024;831595
19.06.2024;829540
18.06.2024;824416
17.06.2024;821091
14.06.2024;815031
13.06.2024;808067
12.06.2024;804878
11.06.2024;799038
10.06.2024;799038
07.06.2024;799038
06.06.2024;798683
05.06.2024;798683
04.06.2024;790738
03.06.2024;780583
31.05.2024;784771
30.05.2024;786366
29.05.2024;788366
28.05.2024;778321
24.05.2024;774686
23.05.2024;774716
22.05.2024;765363
21.05.2024;765363
20.05.2024;767388
17.05.2024;760383
16.05.2024;749878
15.05.2024;740449
14.05.2024;735694
13.05.2024;721723
10.05.2024;711871
09.05.2024;699616
08.05.2024;687673
07.05.2024;701423
06.05.2024;686958
03.05.2024;689178
02.05.2024;682036
01.05.2024;667376
30.04.2024;659758
29.04.2024;661352
26.04.2024;656657
25.04.2024;661492
24.04.2024;652672
23.04.2024;647530
22.04.2024;639670
19.04.2024;643090
18.04.2024;635110
17.04.2024;630856
16.04.2024;623481
15.04.2024;624545
12.04.2024;639650
11.04.2024;637405
10.04.2024;632500
09.04.2024;621870
08.04.2024;615562
05.04.2024;613462
04.04.2024;628217
03.04.2024;616682
02.04.2024;604079
01.04.2024;595209
28.03.2024;595209
27.03.2024;583879
26.03.2024;585379
25.03.2024;577023
22.03.2024;568097
21.03.2024;560627
20.03.2024;544766
19.03.2024;532266
18.03.2024;516386
15.03.2024;488678
14.03.2024;467825
13.03.2024;458107
12.03.2024;450727
11.03.2024;431157
