Date;LRC-TOT-VG (COMM_LAST)
;Close
24.10.2024;3936
23.10.2024;3975
22.10.2024;4020
21.10.2024;4020
18.10.2024;4020
17.10.2024;4024
16.10.2024;4054
15.10.2024;4179
14.10.2024;4229
11.10.2024;4191
10.10.2024;4253
09.10.2024;4290
08.10.2024;4253
07.10.2024;4284
04.10.2024;4308
03.10.2024;4379
02.10.2024;4429
01.10.2024;4436
30.9.2024;4438
27.9.2024;4867
26.9.2024;4894
25.9.2024;4899
24.9.2024;4921
23.9.2024;4890
20.9.2024;5408
19.9.2024;5367
18.9.2024;5405
17.9.2024;5583
16.9.2024;5585
13.9.2024;5591
12.9.2024;6010
11.9.2024;6064
10.9.2024;6047
09.9.2024;6111
06.9.2024;6113
05.9.2024;6124
04.9.2024;6126
03.9.2024;6036
02.9.2024;6038
30.8.2024;6062
29.8.2024;6126
28.8.2024;6163
27.8.2024;6172
23.8.2024;6298
22.8.2024;6303
21.8.2024;6264
20.8.2024;6274
19.8.2024;6290
16.8.2024;6321
15.8.2024;6321
14.8.2024;6304
13.8.2024;6151
12.8.2024;6190
09.8.2024;6195
08.8.2024;6210
07.8.2024;6231
06.8.2024;6282
05.8.2024;6316
02.8.2024;6338
01.8.2024;6338
31.7.2024;6381
30.7.2024;6450
29.7.2024;6490
26.7.2024;6511
25.7.2024;6521
24.7.2024;6478
23.7.2024;6381
22.7.2024;6277
19.7.2024;6128
18.7.2024;6023
17.7.2024;6119
16.7.2024;6098
15.7.2024;6078
12.7.2024;6065
11.7.2024;6048
10.7.2024;6057
09.7.2024;5986
08.7.2024;5944
04.7.2024;5933
03.7.2024;5958
02.7.2024;5960
01.7.2024;5824
28.6.2024;5837
27.6.2024;5932
26.6.2024;5952
25.6.2024;5919
24.6.2024;5932
21.6.2024;5969
19.6.2024;5885
18.6.2024;5872
17.6.2024;5857
14.6.2024;5884
13.6.2024;5796
12.6.2024;5763
11.6.2024;5571
10.6.2024;5399
07.6.2024;5290
06.6.2024;5167
05.6.2024;5079
04.6.2024;4957
03.6.2024;4823
31.5.2024;4678
30.5.2024;4637
29.5.2024;4699
28.5.2024;4699
23.5.2024;4620
22.5.2024;4620
21.5.2024;4466
20.5.2024;4297
17.5.2024;4312
16.5.2024;4144
15.5.2024;4113
14.5.2024;4066
13.5.2024;4071
10.5.2024;4028
09.5.2024;4028
08.5.2024;4045
07.5.2024;4047
03.5.2024;4059
02.5.2024;4032
01.5.2024;3945
30.4.2024;3857
